trial,n_classes,c_start,c_end,radius_closing,radius_opening,dice,hausdorff,score
364,5,0,0,4,1,0.8824690252883852,26.0,0.8564690252883852
350,5,0,0,4,1,0.8824690252883852,26.0,0.8564690252883852
366,5,0,0,4,1,0.8824690252883852,26.0,0.8564690252883852
397,5,0,0,4,1,0.8824690252883852,26.0,0.8564690252883852
384,5,0,0,4,1,0.8824690252883852,26.0,0.8564690252883852
385,5,0,0,4,1,0.8824690252883852,26.0,0.8564690252883852
386,5,0,0,4,1,0.8824690252883852,26.0,0.8564690252883852
390,5,0,0,4,1,0.8824690252883852,26.0,0.8564690252883852
367,5,0,0,4,1,0.8824690252883852,26.0,0.8564690252883852
398,5,0,0,4,1,0.8824690252883852,26.0,0.8564690252883852
396,5,0,0,4,1,0.8824690252883852,26.0,0.8564690252883852
382,5,0,0,4,1,0.8824690252883852,26.0,0.8564690252883852
395,5,0,0,4,1,0.8824690252883852,26.0,0.8564690252883852
394,5,0,0,4,1,0.8824690252883852,26.0,0.8564690252883852
393,5,0,0,4,1,0.8824690252883852,26.0,0.8564690252883852
392,5,0,0,4,1,0.8824690252883852,26.0,0.8564690252883852
391,5,0,0,4,1,0.8824690252883852,26.0,0.8564690252883852
388,5,0,0,4,1,0.8824690252883852,26.0,0.8564690252883852
383,5,0,0,4,1,0.8824690252883852,26.0,0.8564690252883852
387,5,0,0,4,1,0.8824690252883852,26.0,0.8564690252883852
381,5,0,0,4,1,0.8824690252883852,26.0,0.8564690252883852
380,5,0,0,4,1,0.8824690252883852,26.0,0.8564690252883852
368,5,0,0,4,1,0.8824690252883852,26.0,0.8564690252883852
369,5,0,0,4,1,0.8824690252883852,26.0,0.8564690252883852
370,5,0,0,4,1,0.8824690252883852,26.0,0.8564690252883852
371,5,0,0,4,1,0.8824690252883852,26.0,0.8564690252883852
372,5,0,0,4,1,0.8824690252883852,26.0,0.8564690252883852
373,5,0,0,4,1,0.8824690252883852,26.0,0.8564690252883852
374,5,0,0,4,1,0.8824690252883852,26.0,0.8564690252883852
375,5,0,0,4,1,0.8824690252883852,26.0,0.8564690252883852
376,5,0,0,4,1,0.8824690252883852,26.0,0.8564690252883852
377,5,0,0,4,1,0.8824690252883852,26.0,0.8564690252883852
389,5,0,0,4,1,0.8824690252883852,26.0,0.8564690252883852
378,5,0,0,4,1,0.8824690252883852,26.0,0.8564690252883852
379,5,0,0,4,1,0.8824690252883852,26.0,0.8564690252883852
341,4,0,0,4,1,0.8589604711165383,26.0,0.8329604711165383
178,5,0,0,5,1,0.7833988389283525,26.0,0.7573988389283525
168,5,0,0,5,1,0.7833988389283525,26.0,0.7573988389283525
177,5,0,0,5,1,0.7833988389283525,26.0,0.7573988389283525
176,5,0,0,5,1,0.7833988389283525,26.0,0.7573988389283525
175,5,0,0,5,1,0.7833988389283525,26.0,0.7573988389283525
174,5,0,0,5,1,0.7833988389283525,26.0,0.7573988389283525
173,5,0,0,5,1,0.7833988389283525,26.0,0.7573988389283525
172,5,0,0,5,1,0.7833988389283525,26.0,0.7573988389283525
171,5,0,0,5,1,0.7833988389283525,26.0,0.7573988389283525
179,5,0,0,5,1,0.7833988389283525,26.0,0.7573988389283525
170,5,0,0,5,1,0.7833988389283525,26.0,0.7573988389283525
169,5,0,0,5,1,0.7833988389283525,26.0,0.7573988389283525
9,4,0,0,5,1,0.7662889021437844,26.0,0.7402889021437844
247,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
257,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
264,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
263,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
262,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
261,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
260,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
259,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
258,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
256,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
254,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
253,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
246,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
252,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
251,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
250,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
249,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
248,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
255,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
222,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
245,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
244,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
215,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
216,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
217,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
218,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
219,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
220,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
221,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
266,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
223,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
224,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
225,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
226,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
227,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
228,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
229,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
230,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
231,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
232,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
233,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
234,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
235,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
236,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
237,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
238,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
239,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
240,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
241,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
242,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
243,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
265,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
296,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
267,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
323,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
321,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
320,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
319,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
318,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
317,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
316,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
315,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
314,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
313,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
312,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
311,4,0,0,5,2,0.7549142772686964,26.0,0.7289142772686964
