trial,window_size,k,polarity,radius_closing,radius_opening,dice,hausdorff,score
227,43,0.16165625994683222,low,5,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
299,37,0.08612271520311923,low,2,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
300,37,0.06414488657528468,low,2,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
301,37,0.09389144338065022,low,2,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
375,15,0.333263250722539,low,1,1,0.04354797856982575,48.12483766206386,-0.004576859092238109
373,31,0.31334112269221537,low,1,1,0.04354797856982575,48.12483766206386,-0.004576859092238109
372,31,0.4743398673941337,low,1,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
371,21,0.311626374715784,low,1,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
370,15,0.3189102370216966,low,1,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
369,15,0.46646708630627803,low,1,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
368,31,0.31292039282725903,low,1,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
367,37,0.4743218228992943,low,1,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
366,31,0.3236188058079762,low,1,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
365,37,0.4749482442508143,low,1,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
364,15,0.47781645843099785,low,1,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
363,31,0.4702718870794912,low,1,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
362,37,0.3346156256752501,low,1,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
361,15,0.47314945990702323,low,1,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
360,37,0.4721164701271707,low,2,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
359,37,0.061084514282025305,low,2,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
358,37,0.19985375669394218,low,2,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
357,37,0.06998463757781151,low,2,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
356,37,0.06519303002660702,low,2,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
355,37,0.06573112777234776,low,2,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
354,35,0.0605526229497064,low,2,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
353,37,0.06420385009070696,low,2,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
374,45,0.32939433365588155,low,1,1,0.04354797856982575,48.12483766206386,-0.004576859092238109
376,15,0.47956722357571796,low,1,1,0.04354797856982575,48.12483766206386,-0.004576859092238109
351,41,0.0680678078333048,low,2,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
377,21,0.3359649591048195,low,1,1,0.04354797856982575,48.12483766206386,-0.004576859092238109
398,21,0.3096618992536501,low,1,1,0.04354797856982575,48.12483766206386,-0.004576859092238109
397,15,0.47386628644741957,low,1,1,0.04354797856982575,48.12483766206386,-0.004576859092238109
396,31,0.3240183574471709,low,1,1,0.04354797856982575,48.12483766206386,-0.004576859092238109
395,15,0.46978300307311693,low,1,1,0.04354797856982575,48.12483766206386,-0.004576859092238109
394,21,0.46978057162589976,low,1,1,0.04354797856982575,48.12483766206386,-0.004576859092238109
393,11,0.31753083183110437,low,1,1,0.04354797856982575,48.12483766206386,-0.004576859092238109
392,17,0.31924312974617336,low,1,1,0.04354797856982575,48.12483766206386,-0.004576859092238109
391,15,0.31893594618815063,low,1,1,0.04354797856982575,48.12483766206386,-0.004576859092238109
390,15,0.3356692336958747,low,1,1,0.04354797856982575,48.12483766206386,-0.004576859092238109
389,15,0.3186601316489982,low,1,1,0.04354797856982575,48.12483766206386,-0.004576859092238109
388,45,0.33368385053487143,low,1,1,0.04354797856982575,48.12483766206386,-0.004576859092238109
387,31,0.3235186683273438,low,1,1,0.04354797856982575,48.12483766206386,-0.004576859092238109
386,17,0.30898908357028715,low,1,1,0.04354797856982575,48.12483766206386,-0.004576859092238109
385,21,0.47751266012604243,low,1,1,0.04354797856982575,48.12483766206386,-0.004576859092238109
384,15,0.31443520850506257,low,1,1,0.04354797856982575,48.12483766206386,-0.004576859092238109
383,21,0.3196407537192262,low,1,1,0.04354797856982575,48.12483766206386,-0.004576859092238109
382,21,0.31226411825211925,low,1,1,0.04354797856982575,48.12483766206386,-0.004576859092238109
381,21,0.47559392706397075,low,1,1,0.04354797856982575,48.12483766206386,-0.004576859092238109
