trial,num_iter,smoothing,lambda1,lambda2,t_init,radius_closing,dice,hausdorff,score
287,24,1,3,2,25.228410051805806,1,0.9480416372618208,26.1725046566048,0.921869132605216
316,24,1,3,2,25.04231300028673,1,0.9480416372618208,26.1725046566048,0.921869132605216
320,24,1,3,2,24.687841217765907,1,0.9479952362048432,26.1725046566048,0.9218227315482383
336,24,1,3,2,24.195607849045363,1,0.9479952362048432,26.1725046566048,0.9218227315482383
341,25,1,3,2,24.25325799244125,1,0.9479952362048432,26.1725046566048,0.9218227315482383
343,25,1,3,2,24.036513078898484,1,0.9479952362048432,26.1725046566048,0.9218227315482383
313,24,1,3,2,24.351494732843314,1,0.9479952362048432,26.1725046566048,0.9218227315482383
321,24,1,3,2,24.5326589994229,1,0.9479952362048432,26.1725046566048,0.9218227315482383
272,24,1,3,2,48.23314675872153,1,0.9479837642283596,26.1725046566048,0.9218112595717548
366,25,1,3,2,22.36567076039092,1,0.9479697390767331,26.1725046566048,0.9217972344201283
388,25,1,3,2,22.67738485515522,1,0.9479697390767331,26.1725046566048,0.9217972344201283
334,24,1,3,2,24.066706417947344,1,0.947953667953668,26.1725046566048,0.9217811632970632
355,25,1,3,2,23.650130243404835,1,0.9479488310542568,26.1725046566048,0.921776326397652
357,29,1,3,2,23.775091913744962,1,0.9479488310542568,26.1725046566048,0.921776326397652
383,25,1,3,2,23.491090423774317,1,0.9479488310542568,26.1725046566048,0.921776326397652
380,25,1,3,2,23.68477319447669,1,0.9479488310542568,26.1725046566048,0.921776326397652
326,24,1,3,2,23.86478497367434,1,0.9479488310542568,26.1725046566048,0.921776326397652
365,25,1,3,2,23.24815079974371,1,0.9479488310542568,26.1725046566048,0.921776326397652
367,25,1,3,2,22.616890726593763,1,0.9479281585102158,26.1725046566048,0.921755653853611
275,24,1,3,2,25.752103629811547,1,0.9479210323149884,26.1725046566048,0.9217485276583836
387,25,1,3,2,23.445514801214546,1,0.9479072435628709,26.1725046566048,0.9217347389062661
317,24,1,3,2,23.77344264326221,1,0.9479072435628709,26.1725046566048,0.9217347389062661
328,24,1,3,2,34.899360961384204,1,0.9478817299205649,26.1725046566048,0.92170922526396
318,24,1,3,2,24.500062252028737,1,0.947874616725123,26.1725046566048,0.9217021120685182
286,24,1,3,2,25.69507743352932,1,0.9478723169574904,26.1725046566048,0.9216998123008856
294,24,1,3,2,26.274228683080135,1,0.9478723169574904,26.1725046566048,0.9216998123008856
280,24,1,3,2,25.27430008576632,1,0.9478283898305084,26.1725046566048,0.9216558851739036
307,24,1,3,2,25.293278785925573,1,0.9478283898305084,26.1725046566048,0.9216558851739036
370,25,1,3,2,23.591299872805806,1,0.9478281970395535,26.1725046566048,0.9216556923829486
381,25,1,3,2,23.668968637056807,1,0.9478281970395535,26.1725046566048,0.9216556923829486
362,25,1,3,2,24.19002388255714,1,0.9478258951223278,26.1725046566048,0.921653390465723
340,25,1,3,2,24.41062946326319,1,0.9478258951223278,26.1725046566048,0.921653390465723
322,25,1,3,2,24.047763323652486,1,0.9478258951223278,26.1725046566048,0.921653390465723
314,24,1,3,2,24.55091530760218,1,0.9478258951223278,26.1725046566048,0.921653390465723
291,24,1,3,2,24.446257650282227,1,0.9478258951223278,26.1725046566048,0.921653390465723
327,24,1,3,2,24.337379332083906,1,0.9477819465901567,26.1725046566048,0.9216094419335519
273,24,1,3,2,26.125777483899586,1,0.9477493380406001,26.1725046566048,0.9215768333839953
377,28,1,3,2,23.159181096352643,1,0.9476146343616223,26.1725046566048,0.9214421297050175
386,25,1,3,2,23.37767014331748,1,0.9476146343616223,26.1725046566048,0.9214421297050175
375,25,1,3,2,23.74639829218228,1,0.9475705865471644,26.1725046566048,0.9213980818905596
399,25,1,3,2,23.318328412047045,1,0.9475705865471644,26.1725046566048,0.9213980818905596
385,25,1,3,2,23.397924261430504,1,0.9474915575959565,26.1725046566048,0.9213190529393517
100,27,1,3,2,23.44152058826466,1,0.9474915575959565,26.1725046566048,0.9213190529393517
397,25,1,3,2,22.384889811249913,1,0.9474520535852221,26.1725046566048,0.9212795489286173
395,25,1,3,2,22.965461956796073,1,0.9473289183222958,26.1725046566048,0.921156413665691
384,25,1,3,2,22.654123028867964,1,0.9473289183222958,26.1725046566048,0.921156413665691
101,29,1,4,3,39.9214008788698,2,0.9472483103660142,26.1725046566048,0.9210758057094094
16,11,1,2,2,51.35481845790692,2,0.9470590796290652,26.0,0.9210590796290652
211,20,1,4,1,52.899109772577745,1,0.9463434750733137,26.0,0.9203434750733137
221,21,1,4,1,48.13945982877069,1,0.9463405689137461,26.0,0.920340568913746
210,30,1,4,1,52.957135943860976,1,0.9463405689137461,26.0,0.920340568913746
212,21,1,4,1,48.511456053234774,1,0.9463405689137461,26.0,0.920340568913746
217,30,1,4,1,53.265850972445456,1,0.9462868675748819,26.0,0.9202868675748819
251,24,1,4,1,25.760086106841342,1,0.9462681092976343,26.0,0.9202681092976343
243,29,1,4,1,25.821608820282936,1,0.9462681092976343,26.0,0.9202681092976343
236,22,1,4,1,25.47706395161139,1,0.9462553045073976,26.0,0.9202553045073976
166,30,1,4,1,32.8736940802875,1,0.9462513465814023,26.0,0.9202513465814023
234,21,1,4,1,25.48150347741477,1,0.9462469067913115,26.0,0.9202469067913115
230,21,1,4,1,26.985388820324935,1,0.9462266963241532,26.0,0.9202266963241532
238,22,1,4,1,25.305395662394638,1,0.9462266963241532,26.0,0.9202266963241532
259,29,1,4,1,25.05184447627011,1,0.9462000642113471,26.0,0.920200064211347
240,30,1,4,1,31.93871968330246,1,0.9461926605504587,26.0,0.9201926605504587
252,24,1,4,1,26.116184767768754,1,0.9461788841516526,26.0,0.9201788841516526
216,20,1,4,1,52.44857591520101,1,0.9461670677208662,26.0,0.9201670677208662
160,30,1,4,1,20.11215960220487,1,0.9461212329551966,26.0,0.9201212329551965
188,21,1,4,1,29.840163683676714,1,0.9461201458815973,26.0,0.9201201458815973
250,24,1,4,1,25.403326018427478,1,0.9460946094609461,26.0,0.9200946094609461
227,21,1,4,1,25.996990265863197,1,0.9460946094609461,26.0,0.9200946094609461
231,21,1,4,1,25.671191624628904,1,0.9460946094609461,26.0,0.9200946094609461
181,30,1,4,1,28.125962464770012,1,0.9460946094609461,26.0,0.9200946094609461
161,26,1,4,1,20.233070065526665,1,0.9460767448794697,26.0,0.9200767448794697
174,21,1,4,1,20.829143791621288,1,0.9460767448794697,26.0,0.9200767448794697
186,21,1,4,1,28.31446213461438,1,0.9460512444424073,26.0,0.9200512444424073
258,29,1,4,1,25.272420203410114,1,0.9460135367672364,26.0,0.9200135367672364
261,24,1,4,1,25.531755026120482,1,0.9460091743119267,26.0,0.9200091743119266
176,30,1,4,1,20.576969608753984,1,0.9459973858607168,26.0,0.9199973858607168
260,24,1,4,1,26.014630427498155,1,0.9459868753154972,26.0,0.9199868753154972
169,30,1,4,1,21.193378933183368,1,0.9459230222589001,26.0,0.9199230222589001
242,30,1,4,1,25.962250902466188,1,0.945898218012522,26.0,0.919898218012522
232,22,1,4,1,27.073983774092213,1,0.9458715596330275,26.0,0.9198715596330275
226,21,1,4,1,31.33683385990462,1,0.9458715596330275,26.0,0.9198715596330275
178,30,1,4,1,22.90875053538265,1,0.9457847903862031,26.0,0.9197847903862031
228,21,1,4,1,20.520652837426958,1,0.9457588262265016,26.0,0.9197588262265016
223,21,1,4,1,20.12418459255055,1,0.9457588262265016,26.0,0.9197588262265016
173,20,1,4,1,22.97339712633651,1,0.9457190052307974,26.0,0.9197190052307974
175,30,1,4,1,20.536455991430632,1,0.9456898331918409,26.0,0.9196898331918408
177,30,1,4,1,20.145135570683646,1,0.9456105338012983,26.0,0.9196105338012983
213,20,1,4,1,20.855522000979885,1,0.9455821313091934,26.0,0.9195821313091934
162,30,1,4,1,21.74088607519014,1,0.9455671521963528,26.0,0.9195671521963528
74,13,1,2,2,50.43288722614511,3,0.944830884270933,26.0,0.918830884270933
23,23,1,3,3,39.51765305614007,3,0.9447137856816749,26.0,0.9187137856816748
31,12,1,2,3,43.80114008402292,1,0.9437935572960494,26.0,0.9177935572960494
4,14,1,3,4,48.84643878460382,3,0.943064248994429,26.0,0.917064248994429
55,28,1,4,4,39.81365437352266,1,0.9398881340676768,26.0,0.9138881340676768
12,15,1,5,1,74.75252293750204,3,0.9393659729592543,26.0,0.9133659729592543
118,15,1,5,1,41.786327721028215,2,0.939014819260422,26.0,0.9130148192604219
119,12,1,2,5,62.36650647362791,3,0.9326953479058199,26.0,0.9066953479058198
56,9,1,1,3,45.23368805393082,1,0.9256440281030445,26.0,0.8996440281030444
89,15,2,1,2,39.20165070414721,1,0.9231930050376157,26.0,0.8971930050376157
84,27,2,1,1,84.74295860655465,1,0.9196094864883231,26.019223662515376,0.8935902628258077
1,30,2,2,4,78.23313107567292,3,0.9118894787108811,26.40075756488817,0.885488721145993
32,6,2,2,3,57.546882536513735,2,0.9118539666839017,26.40075756488817,0.8854532091190136
114,13,2,5,3,88.73011377218943,2,0.9105438710275179,26.40075756488817,0.8841431134626297
13,26,2,2,5,26.938705176058892,2,0.910167638483965,26.40075756488817,0.8837668809190768
79,12,2,5,3,34.58361513076257,1,0.9083428252632557,26.40075756488817,0.8819420676983676
88,24,2,5,2,45.20364021394421,2,0.9071844294163387,26.40075756488817,0.8807836718514506
35,25,2,2,1,29.95589848209585,1,0.9056940337041731,26.40075756488817,0.879293276139285
34,10,2,2,3,33.69652717580418,3,0.9043866378408536,26.419689627245813,0.8779669482136078
94,17,2,3,3,75.80788591645285,3,0.9025812214960741,26.570660511172846,0.8760105609849013
8,5,2,5,3,72.50291427802404,3,0.9004566642216596,26.870057685088806,0.8735866065365708
48,18,2,4,3,23.71034986844891,1,0.8977162235871653,26.739483914241877,0.8709767396729234
112,23,2,5,5,41.608366968428626,1,0.8937239287068639,26.476404589747453,0.8672475241171165
113,5,2,4,2,23.629916818059158,1,0.8934459572635256,26.92582403567252,0.866520133227853
76,23,2,5,3,76.6234468186475,3,0.8933808578331699,26.870057685088806,0.8665108001480811
108,22,2,5,4,37.82525609051166,1,0.8920478939083146,26.570660511172846,0.8654772333971418
125,27,2,4,2,71.96436416382983,2,0.8897598038037076,26.92582403567252,0.862833979768035
91,23,2,5,1,69.18221854496088,3,0.8886407766990291,26.40075756488817,0.862240019134141
107,18,2,3,1,33.41480161409641,2,0.873923603444469,26.570660511172846,0.8473529429332961
115,11,3,1,5,43.47714519820752,3,0.8379496056934026,31.064449134018133,0.8068851565593844
22,6,3,2,5,48.63919983065059,2,0.8353330275450837,31.080540535840107,0.8042524870092436
80,12,3,2,4,41.94075878317569,1,0.8251264175953655,32.0624390837628,0.7930639785116027
64,12,3,2,4,56.38740359901895,2,0.8008493003504643,31.144823004794873,0.7697044773456694
75,9,1,5,5,67.04774473715963,1,0.7905575993652167,26.0,0.7645575993652167
87,5,3,5,4,61.172862280210545,2,0.7861858544412005,29.393876913398138,0.7567919775278024
83,8,3,5,3,94.03558303834399,3,0.7523987134787427,32.14031735997639,0.7202583961187663
10,8,3,5,3,85.82620552505637,1,0.7384354763791361,32.817678162843876,0.7056177982162922
11,11,1,4,2,96.74187317424337,3,0.7286538332550808,26.0,0.7026538332550808
30,19,3,2,4,46.11546697552504,3,0.6757399128515648,34.23448553724738,0.6415054273143174
127,20,1,3,2,75.95782664320043,3,0.6610571476048763,26.0,0.6350571476048763
105,25,1,3,4,65.99993294479859,2,0.6371992508284109,27.748873851023216,0.6094503769773877
24,9,1,3,3,75.09598207220154,3,0.6055924482739696,26.70205984563738,0.5788903884283323
134,8,3,3,3,88.22956358660242,2,0.6021811572250834,34.38022687534217,0.5678009303497412
123,9,4,5,5,68.18234087683291,3,0.5654640629407892,35.52463933666322,0.5299394236041259
19,23,3,1,3,59.61172739788212,2,0.6181159843485371,104.12492496996096,0.5139910593785761
27,13,3,5,5,41.244245500498316,2,0.6119702090748661,105.46563421323555,0.5065045748616306
104,19,3,2,4,57.61721250198492,3,0.6109328544935386,105.94810050208545,0.5049847539914532
111,7,1,3,5,81.45622868444163,1,0.5320750209055071,27.2213151776324,0.5048537057278747
50,22,3,3,3,25.475223048661782,1,0.538552033321675,43.278170016764804,0.4952738633049102
49,23,3,2,3,60.72948951799291,1,0.5962180200222469,106.87375730271674,0.48934426271953013
126,20,3,2,4,53.35532102866136,1,0.5974818315040225,108.2081327812286,0.48927369872279386
46,6,2,2,3,98.5849732448241,1,0.5089437978465177,27.586228448267445,0.4813575693982502
9,18,3,4,4,50.02879118256318,2,0.5898864432063811,108.66922287382016,0.48121722033256087
51,10,3,5,2,79.41028740392399,1,0.5804408568767464,107.59646834352883,0.4728443885332176
96,7,4,1,3,55.21885230981273,3,0.5726392626271999,100.0399920031984,0.4725992706240015
70,12,3,4,1,41.83965153330238,1,0.5131364495729839,45.044422518220834,0.46809202705476305
106,16,2,4,3,92.66464106427597,2,0.4941261696347721,27.748873851023216,0.4663772957837489
2,21,3,3,3,75.26173070785518,2,0.565241774675972,110.50339361304701,0.454738381062925
97,21,3,3,2,43.102676355927976,3,0.5638703229433444,111.50784725749125,0.45236247568585314
60,6,2,3,4,98.27607651727811,3,0.4789946059670091,28.231188426986208,0.4507634175400229
